127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001486
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001161
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.001207
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000971
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000625
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.002262
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.002480
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001859
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.002367
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.000881
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000566
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000325
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000276
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000571
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001093
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000767
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000791
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001180
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000811
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001787
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000516
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000674
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000496
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.002241
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001241
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001354
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000531
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000634
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000488
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000598
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/js/ajax_editor.js, HTTP/1.1, 200, 0.000621
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/js/typeahead.min.js, HTTP/1.1, 200, 0.000691
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000599
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/images/files_toggle.png, HTTP/1.1, 200, 0.000588
127.0.0.1, 2016-01-05 10:50:28, GET, /admin/static/_2.13.4/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000543
127.0.0.1, 2016-01-05 10:50:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000243
127.0.0.1, 2016-01-05 10:50:29, GET, /admin/default/edit/Teste/models/menu.py, HTTP/1.1, 200, 0.184929
127.0.0.1, 2016-01-05 10:50:29, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.215461
127.0.0.1, 2016-01-05 10:50:29, GET, /admin/static/_2.13.4/images/save_icon.png, HTTP/1.1, 200, 0.012601
127.0.0.1, 2016-01-05 10:50:29, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.094108
127.0.0.1, 2016-01-05 10:50:29, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.331670
127.0.0.1, 2016-01-05 10:50:29, GET, /Teste/appadmin/hooks, HTTP/1.1, 200, 0.328949
127.0.0.1, 2016-01-05 10:50:29, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.401667
